№ п/п,ФИО,Класс,Круг 1,Круг 2,Круг 3,Круг 4,Круг 5,Круг 6,Круг 7,Круг 8,Колличество кругов,Общее время,Место
4,"""Кондратьєв Юрій """,UTV-S,"00:11:42,66","00:11:21,07","00:11:03,11","00:11:58,76","00:11:08,82","00:10:59,87","00:10:47,89","00:10:47,62",8,,1
22,"""Олейнік Віталій""",UTV-S,"00:12:05,70","00:11:30,56","00:11:15,28","00:11:27,25","00:11:13,21","00:10:45,70","00:10:40,10","00:11:03,14",8,,2
39,"""Cтепанов Денис """,UTV-S,"00:12:09,25","00:11:43,17","00:11:34,44","00:11:37,87","00:11:34,69","00:11:22,55","00:11:14,40","00:11:10,60",8,,3
20,"""Литвиненко Димтро""",UTV-S,"00:12:04,61","00:11:44,30","00:11:25,73","00:11:32,03","00:12:30,21","00:11:41,64","00:11:11,96","00:11:07,48",8,,4
7,"""Фролов Володимир """,UTV-S,"00:12:20,37","00:11:47,48","00:11:25,99","00:11:35,53","00:11:30,86","00:11:42,22","00:11:33,75","00:11:32,77",8,,5
46,"""Анохін Валерій """,UTV-S,"00:12:19,87","00:12:06,37","00:11:51,36","00:11:44,87","00:11:50,83","00:11:48,63","00:11:50,33","00:12:06,33",8,,6
21,"""Махневич Микола""",UTV-S,"00:13:52,23","00:13:49,62","00:14:00,95","00:13:51,66","00:12:43,00","00:12:41,62","00:12:39,18","00:12:43,89",8,,7
81,"""Барабаш Володимир""",UTV-S,"00:11:53,15","00:11:50,58","00:11:38,05","00:11:24,30","00:11:18,16","00:11:20,04","00:11:26,18",,7,,8
59,"""Дикий Андрій""",UTV-S,"00:12:17,92","00:11:41,05","00:11:29,34",,"00:11:58,54","00:11:50,96","00:11:38,49","00:11:38,52",7,,9
87,"""Кантаністов Олександр """,UTV-S,"00:12:36,81","00:11:56,20","00:11:52,65","00:12:16,11","00:11:47,18","00:11:27,06","00:16:59,51",,7,,10
11,"""Драло Володимир""",UTV-S,"00:12:31,79","00:12:32,05","00:12:49,68","00:12:18,59","00:11:27,95",,,,5,,11
